lab_id,lab_name,location,equipment_list,availability,contact_person,contact_email
LAB_3D630C,Collaborative Biomedical Research Lab,"Coimbatore, Tamil Nadu",Incubator;High-Speed Camera;EEG Headset;Flow Cytometer;Electrophoresis Apparatus;Blood Glucose Sensor;ECG Sensor;GPU Workstation (NVIDIA A100);MRI Scanner (access);PCR Machine;Autoclave;Centrifuge;GPS Device;Scanning Electron Microscope (SEM);Microscope (Fluorescent);Biosensor Array,"{""Monday-Friday"": ""9:00-18:00"", ""Saturday"": ""09:00-13:00"", ""Sunday"": ""Closed""}",Ms. Singh,contact@collaborativebiomedicalresearchlab.edu.in
LAB_C431C6,Digital Environmental Science Innovation Center,"Bhubaneswar, Odisha",Spectrophotometer;Dissolved Oxygen Sensor;CO2 Sensor;Arduino Uno;Datalogger;Particulate Matter Sensor (PM2.5);Portable Water Quality Analyzer;Digital Multimeter;Waterproof Enclosure;Turbidity Sensor;Anemometer;Water Sampler;FPGA Board (Xilinx Artix-7);Breadboard & Jumper Wires;Temperature Sensor;Drone (DJI Matrice);Soil pH Meter,"{""Monday-Friday"": ""10:00-17:00"", ""Saturday"": ""09:00-13:00"", ""Sunday"": ""Closed""}",Prof. Reddy,contact@digitalenvironmentalscienceinnovationcenter.edu.in
LAB_11B650,Central CS-AI Research Lab,"Kolkata, West Bengal",NAS Storage (100TB);Spectrophotometer;Raspberry Pi 5;Particulate Matter Sensor (PM2.5);TPU Cloud Instance;Waterproof Enclosure;Microphone Array;LiDAR Sensor,"{""Monday-Friday"": ""8:00-18:00"", ""Saturday"": ""10:00-14:00"", ""Sunday"": ""Closed""}",Ms. Reddy,contact@centralcs-airesearchlab.edu.in
LAB_B9F636,Regional Biomedical Institute of Technology,"Bengaluru, Karnataka",Spectrophotometer;EEG Headset;High-Speed Camera;Incubator;Electrophoresis Apparatus;ECG Sensor;PCB Prototyping Machine;GPU Workstation (NVIDIA A100);MRI Scanner (access);Centrifuge;PCR Machine;Microscope (Fluorescent);Biosensor Array;Flow Cytometer;ELISA Reader;Autoclave,"{""Monday-Friday"": ""8:00-18:00"", ""Saturday"": ""09:00-13:00"", ""Sunday"": ""Closed""}",Dr. Reddy,contact@regionalbiomedicalinstituteoftechnology.edu.in
LAB_BAFCE1,Advanced Civil Institute of Technology,"Hyderabad, Telangana",Strain Gauge;Triaxial Test Apparatus;Raspberry Pi 5;Microphone Array;Schmidt Hammer;GPS RTK System;Autoclave;Core Cutter;Drone (Survey Grade);Penetrometer;Total Station (Survey),"{""Monday-Friday"": ""8:00-17:00"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",Dr. Sharma,contact@advancedcivilinstituteoftechnology.edu.in
LAB_4153B8,Digital Civil Institute of Technology,"Pune, Maharashtra",Strain Gauge;Triaxial Test Apparatus;Proctor Compaction Test;Compression Testing Machine (CTM);Schmidt Hammer;Traffic Counter Sensor;Theodolite;Network Switch (10GbE);Centrifuge;Drone (Survey Grade),"{""Monday-Friday"": ""8:00-19:00"", ""Saturday"": ""09:00-13:00"", ""Sunday"": ""Closed""}",Ms. Reddy,contact@digitalcivilinstituteoftechnology.edu.in
LAB_52AFE6,Collaborative Environmental Science Testing Facility,"Pune, Maharashtra",Spectrophotometer;Turbidity Meter;Arduino Uno;Datalogger;GPS Device;Traffic Counter Sensor;Water Sampler;Breadboard & Jumper Wires;Temperature Sensor;Drone (DJI Matrice);MRI Scanner (access),"{""Monday-Friday"": ""10:00-20:00"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",Dr. Sharma,contact@collaborativeenvironmentalsciencetestingfacility.edu.in
LAB_DFF3E2,Digital Environmental Science Institute of Technology,"Kolkata, West Bengal",Turbidity Meter;Dissolved Oxygen Sensor;CO2 Sensor;Spectrophotometer;Rainfall Gauge;Waterproof Enclosure;Conductivity Meter;GPS Device;Turbidity Sensor;GPU Workstation (NVIDIA A100);Breadboard & Jumper Wires;Temperature Sensor;Soil pH Meter,"{""Monday-Friday"": ""9:00-19:00"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",Ms. Patel,contact@digitalenvironmentalscienceinstituteoftechnology.edu.in
LAB_14BB2F,Precision CS-AI Testing Facility,"Jaipur, Rajasthan",NAS Storage (100TB);GPU Workstation (NVIDIA RTX 4090);TPU Cloud Instance;Network Switch (10GbE);Raspberry Pi 4;Jetson Nano;LiDAR Sensor;High-Resolution Camera,"{""Monday-Friday"": ""10:00-19:00"", ""Saturday"": ""09:00-13:00"", ""Sunday"": ""Closed""}",Prof. Das,contact@precisioncs-aitestingfacility.edu.in
LAB_02752B,Advanced Materials Science Center for Excellence,"Kochi, Kerala",pH Sensor;Raman Spectrometer;Muffle Furnace;Universal Testing Machine (UTM);Ball Mill;Transmission Electron Microscope (TEM);Hardness Tester;X-Ray Diffractometer (XRD);Electrochemical Workstation,"{""Monday-Friday"": ""8:00-17:00"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",Prof. Iyer,contact@advancedmaterialssciencecenterforexcellence.edu.in
