project_id,project_title,project_description,research_domain,project_type,budget_range,duration_months,team_expertise,location,equipment_name,equipment_category,methodology_name,methodology_type,skill_required,tool_name,tool_category
PRJ_CA6CD6,IoT-Based Heavy Metal Detection System for Air Pollution Analysis,IoT-enabled real-time river monitoring system with automated alert generation for flood prediction using LSTM-based time series forecasting. The project will leverage open-source tools wherever possible to maximize reproducibility.,Environmental Science,Mixed,1L-5L,6,"ML, Embedded Systems, Data Analysis","Chandigarh, Punjab",Turbidity Sensor,Sensor,Water Quality Index Calculation,Analytical,Embedded Systems,Grafana,Visualization
PRJ_CA6CD6,IoT-Based Heavy Metal Detection System for Air Pollution Analysis,IoT-enabled real-time river monitoring system with automated alert generation for flood prediction using LSTM-based time series forecasting. The project will leverage open-source tools wherever possible to maximize reproducibility.,Environmental Science,Mixed,1L-5L,6,"ML, Embedded Systems, Data Analysis","Chandigarh, Punjab",pH Sensor,Sensor,Regression Analysis,Statistical,ML,Python,Programming
PRJ_CA6CD6,IoT-Based Heavy Metal Detection System for Air Pollution Analysis,IoT-enabled real-time river monitoring system with automated alert generation for flood prediction using LSTM-based time series forecasting. The project will leverage open-source tools wherever possible to maximize reproducibility.,Environmental Science,Mixed,1L-5L,6,"ML, Embedded Systems, Data Analysis","Chandigarh, Punjab",Dissolved Oxygen Sensor,Sensor,,,,MQTT,Data Analysis
PRJ_CA6CD6,IoT-Based Heavy Metal Detection System for Air Pollution Analysis,IoT-enabled real-time river monitoring system with automated alert generation for flood prediction using LSTM-based time series forecasting. The project will leverage open-source tools wherever possible to maximize reproducibility.,Environmental Science,Mixed,1L-5L,6,"ML, Embedded Systems, Data Analysis","Chandigarh, Punjab",GPS Device,Field Equipment,,,,QGIS,Visualization
PRJ_CA6CD6,IoT-Based Heavy Metal Detection System for Air Pollution Analysis,IoT-enabled real-time river monitoring system with automated alert generation for flood prediction using LSTM-based time series forecasting. The project will leverage open-source tools wherever possible to maximize reproducibility.,Environmental Science,Mixed,1L-5L,6,"ML, Embedded Systems, Data Analysis","Chandigarh, Punjab",Water Sampler,Field Equipment,,,,Pandas,Data Analysis
PRJ_CA6CD6,IoT-Based Heavy Metal Detection System for Air Pollution Analysis,IoT-enabled real-time river monitoring system with automated alert generation for flood prediction using LSTM-based time series forecasting. The project will leverage open-source tools wherever possible to maximize reproducibility.,Environmental Science,Mixed,1L-5L,6,"ML, Embedded Systems, Data Analysis","Chandigarh, Punjab",Breadboard & Jumper Wires,Computing,,,,,
PRJ_CA6CD6,IoT-Based Heavy Metal Detection System for Air Pollution Analysis,IoT-enabled real-time river monitoring system with automated alert generation for flood prediction using LSTM-based time series forecasting. The project will leverage open-source tools wherever possible to maximize reproducibility.,Environmental Science,Mixed,1L-5L,6,"ML, Embedded Systems, Data Analysis","Chandigarh, Punjab",Drone (DJI Matrice),Field Equipment,,,,,
PRJ_C56A5C,Deep Learning Approach to Biodiversity,Design of a low-cost air quality monitoring network using distributed PM2.5 and CO2 sensors across urban Chennai to detect pollution hotspots with spatial interpolation. Data privacy and security considerations are incorporated into the design.,Environmental Science,Mixed,1L-5L,3,"Electronics, Embedded Systems, ML","Bhubaneswar, Odisha",Turbidity Sensor,Sensor,Geospatial Mapping,Analytical,Embedded Systems,scikit-learn,Data Analysis
PRJ_C56A5C,Deep Learning Approach to Biodiversity,Design of a low-cost air quality monitoring network using distributed PM2.5 and CO2 sensors across urban Chennai to detect pollution hotspots with spatial interpolation. Data privacy and security considerations are incorporated into the design.,Environmental Science,Mixed,1L-5L,3,"Electronics, Embedded Systems, ML","Bhubaneswar, Odisha",Anemometer,Field Equipment,Principal Component Analysis,Analytical,Embedded Systems,Node-RED,Visualization
PRJ_C56A5C,Deep Learning Approach to Biodiversity,Design of a low-cost air quality monitoring network using distributed PM2.5 and CO2 sensors across urban Chennai to detect pollution hotspots with spatial interpolation. Data privacy and security considerations are incorporated into the design.,Environmental Science,Mixed,1L-5L,3,"Electronics, Embedded Systems, ML","Bhubaneswar, Odisha",Soil pH Meter,Field Equipment,Statistical Threshold Analysis,Statistical,Data Analysis,Google Earth Engine,Simulation
PRJ_C56A5C,Deep Learning Approach to Biodiversity,Design of a low-cost air quality monitoring network using distributed PM2.5 and CO2 sensors across urban Chennai to detect pollution hotspots with spatial interpolation. Data privacy and security considerations are incorporated into the design.,Environmental Science,Mixed,1L-5L,3,"Electronics, Embedded Systems, ML","Bhubaneswar, Odisha",Temperature Sensor,Sensor,Water Quality Index Calculation,Analytical,Embedded Systems,QGIS,Visualization
